,device,machine,device_name,n,time
61,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05369400978088379
62,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05245828628540039
63,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05223369598388672
64,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.052542924880981445
65,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05257987976074219
66,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.05251741409301758
67,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.052190542221069336
68,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.038336992263793945
69,cpu,HP Elitebook 830 G8,i7-1165G7,1500,0.04065275192260742
70,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.08800530433654785
71,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.11423826217651367
72,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.10106611251831055
73,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07242345809936523
74,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.0733644962310791
75,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07249760627746582
76,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07272744178771973
77,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07327938079833984
78,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.07328057289123535
79,cpu,HP Elitebook 830 G8,i7-1165G7,2000,0.0736246109008789
80,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.2200946807861328
81,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.2229304313659668
82,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.23707795143127441
83,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.29775071144104004
84,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.32060885429382324
85,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.3350794315338135
86,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.32379984855651855
87,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.331789493560791
88,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.3262488842010498
89,cpu,HP Elitebook 830 G8,i7-1165G7,3000,0.324221134185791
90,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.7144532203674316
91,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.685373067855835
92,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6833412647247314
93,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.8446898460388184
94,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6716349124908447
95,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.677001953125
96,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6762528419494629
97,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.677833080291748
98,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6728160381317139
99,cpu,HP Elitebook 830 G8,i7-1165G7,4000,0.6777133941650391
